Subject,Predicate,Object,SubjectLabels,ObjectLabels,Fuzzy
用户#132,Proposes,需求#132,User,Requirement,1.0
目标#132,Specifies,需求#132,Goal,Requirement,1.0
我希望无人机能够自主导航并根据预设的区域进行农作物的生长监测和土壤肥力评估工作。,Defines,目标#133,User_Story,Goal,1.0
用户#133,Proposes,需求#133,User,Requirement,1.0
目标#133,Specifies,需求#133,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的区域进行环境污染和废物排放的监测和取证工作。,Defines,目标#134,User_Story,Goal,1.0
用户#134,Proposes,需求#134,User,Requirement,1.0
目标#134,Specifies,需求#134,Goal,Requirement,1.0
我希望无人机能够自主导航并根据预设的海域进行海洋生态系统的监测和保护工作。,Defines,目标#135,User_Story,Goal,1.0
用户#135,Proposes,需求#135,User,Requirement,1.0
目标#135,Specifies,需求#135,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的区域进行城市设施和基础设施的巡检和维护工作。,Defines,目标#136,User_Story,Goal,1.0
用户#136,Proposes,需求#136,User,Requirement,1.0
目标#136,Specifies,需求#136,Goal,Requirement,1.0
我希望无人机能够自主导航并根据预设的河流和水库进行水文测量和水资源管理工作。,Defines,目标#137,User_Story,Goal,1.0
用户#137,Proposes,需求#137,User,Requirement,1.0
目标#137,Specifies,需求#137,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的区域进行森林火灾监测和预警工作。,Defines,目标#138,User_Story,Goal,1.0
用户#138,Proposes,需求#138,User,Requirement,1.0
目标#138,Specifies,需求#138,Goal,Requirement,1.0
我希望无人机能够自主导航并根据预设的区域进行建筑物的立面测量和模型生成工作。,Defines,目标#139,User_Story,Goal,1.0
用户#139,Proposes,需求#139,User,Requirement,1.0
目标#139,Specifies,需求#139,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的路径进行通信设备的巡检和信号覆盖评估工作。,Defines,目标#140,User_Story,Goal,1.0
用户#140,Proposes,需求#140,User,Requirement,1.0
目标#140,Specifies,需求#140,Goal,Requirement,1.0
我希望无人机能够自主导航并根据预设的地质勘测线路进行地下资源的勘探和评估工作。,Defines,目标#141,User_Story,Goal,1.0
用户#141,Proposes,需求#141,User,Requirement,1.0
目标#141,Specifies,需求#141,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的渔场进行鱼群调查和渔业资源评估工作。,Defines,目标#142,User_Story,Goal,1.0
用户#142,Proposes,需求#142,User,Requirement,1.0
目标#142,Specifies,需求#142,Goal,Requirement,1.0
我希望无人机能够自主导航并根据预设的区域进行城市土地利用和用地评估的空中勘测工作。,Defines,目标#143,User_Story,Goal,1.0
用户#143,Proposes,需求#143,User,Requirement,1.0
目标#143,Specifies,需求#143,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的区域进行野生动物保护和栖息地监测工作。,Defines,目标#144,User_Story,Goal,1.0
用户#144,Proposes,需求#144,User,Requirement,1.0
目标#144,Specifies,需求#144,Goal,Requirement,1.0
我希望无人机能够根据预设的农田边界自主飞行，并进行农田的精准灌溉和水资源的合理利用。,Defines,目标#145,User_Story,Goal,1.0
用户#145,Proposes,需求#145,User,Requirement,1.0
目标#145,Specifies,需求#145,Goal,Requirement,1.0
我希望无人机能够自主导航并根据事故区域进行搜索和救援任务,Defines,目标#146,User_Story,Goal,1.0
用户#146,Proposes,需求#146,User,Requirement,1.0
目标#146,Specifies,需求#146,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和摄像功能,Defines,目标#147,User_Story,Goal,1.0
用户#147,Proposes,需求#147,User,Requirement,1.0
目标#147,Specifies,需求#147,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和拍摄功能,Defines,目标#148,User_Story,Goal,1.0
用户#148,Proposes,需求#148,User,Requirement,1.0
目标#148,Specifies,需求#148,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和摄像功能,Defines,目标#149,User_Story,Goal,1.0
用户#149,Proposes,需求#149,User,Requirement,1.0
目标#149,Specifies,需求#149,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和拍摄功能,Defines,目标#150,User_Story,Goal,1.0
用户#150,Proposes,需求#150,User,Requirement,1.0
目标#150,Specifies,需求#150,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和勘探功能,Defines,目标#151,User_Story,Goal,1.0
用户#151,Proposes,需求#151,User,Requirement,1.0
目标#151,Specifies,需求#151,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和检测功能,Defines,目标#152,User_Story,Goal,1.0
用户#152,Proposes,需求#152,User,Requirement,1.0
目标#152,Specifies,需求#152,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和携带救援设备的能力,Defines,目标#153,User_Story,Goal,1.0
用户#153,Proposes,需求#153,User,Requirement,1.0
目标#153,Specifies,需求#153,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和植物喷洒功能,Defines,目标#154,User_Story,Goal,1.0
用户#154,Proposes,需求#154,User,Requirement,1.0
目标#154,Specifies,需求#154,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和建筑材料运输功能,Defines,目标#155,User_Story,Goal,1.0
用户#155,Proposes,需求#155,User,Requirement,1.0
目标#155,Specifies,需求#155,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和侦察功能,Defines,目标#156,User_Story,Goal,1.0
用户#156,Proposes,需求#156,User,Requirement,1.0
目标#156,Specifies,需求#156,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和摄影功能,Defines,目标#157,User_Story,Goal,1.0
用户#157,Proposes,需求#157,User,Requirement,1.0
目标#157,Specifies,需求#157,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和地质灾害监测功能,Defines,目标#158,User_Story,Goal,1.0
用户#158,Proposes,需求#158,User,Requirement,1.0
目标#158,Specifies,需求#158,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和海洋观测功能,Defines,目标#159,User_Story,Goal,1.0
用户#159,Proposes,需求#159,User,Requirement,1.0
目标#159,Specifies,需求#159,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和监控功能,Defines,目标#160,User_Story,Goal,1.0
用户#160,Proposes,需求#160,User,Requirement,1.0
目标#160,Specifies,需求#160,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和作物监测功能,Defines,目标#161,User_Story,Goal,1.0
用户#161,Proposes,需求#161,User,Requirement,1.0
目标#161,Specifies,需求#161,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和电力巡检功能,Defines,目标#162,User_Story,Goal,1.0
用户#162,Proposes,需求#162,User,Requirement,1.0
目标#162,Specifies,需求#162,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和气象观测功能,Defines,目标#163,User_Story,Goal,1.0
用户#163,Proposes,需求#163,User,Requirement,1.0
目标#163,Specifies,需求#163,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和船舶监测功能,Defines,目标#164,User_Story,Goal,1.0
用户#164,Proposes,需求#164,User,Requirement,1.0
目标#164,Specifies,需求#164,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和环境监测功能,Defines,目标#165,User_Story,Goal,1.0
用户#165,Proposes,需求#165,User,Requirement,1.0
目标#165,Specifies,需求#165,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和水质监测功能,Defines,目标#166,User_Story,Goal,1.0
用户#166,Proposes,需求#166,User,Requirement,1.0
目标#166,Specifies,需求#166,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和航空器维修功能,Defines,目标#167,User_Story,Goal,1.0
用户#167,Proposes,需求#167,User,Requirement,1.0
目标#167,Specifies,需求#167,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和野生动物监测功能,Defines,目标#168,User_Story,Goal,1.0
用户#168,Proposes,需求#168,User,Requirement,1.0
目标#168,Specifies,需求#168,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和建筑结构测量功能,Defines,目标#169,User_Story,Goal,1.0
用户#169,Proposes,需求#169,User,Requirement,1.0
目标#169,Specifies,需求#169,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和环境监测功能,Defines,目标#170,User_Story,Goal,1.0
用户#170,Proposes,需求#170,User,Requirement,1.0
目标#170,Specifies,需求#170,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和海洋生物采样功能,Defines,目标#171,User_Story,Goal,1.0
用户#171,Proposes,需求#171,User,Requirement,1.0
目标#171,Specifies,需求#171,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和城市规划勘测功能,Defines,目标#172,User_Story,Goal,1.0
用户#172,Proposes,需求#172,User,Requirement,1.0
目标#172,Specifies,需求#172,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和火场监测功能,Defines,目标#173,User_Story,Goal,1.0
用户#173,Proposes,需求#173,User,Requirement,1.0
目标#173,Specifies,需求#173,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和灌溉调控功能,Defines,目标#174,User_Story,Goal,1.0
用户#174,Proposes,需求#174,User,Requirement,1.0
目标#174,Specifies,需求#174,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和地质勘测功能,Defines,目标#175,User_Story,Goal,1.0
用户#175,Proposes,需求#175,User,Requirement,1.0
目标#175,Specifies,需求#175,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和海洋生态监测功能,Defines,目标#176,User_Story,Goal,1.0
用户#176,Proposes,需求#176,User,Requirement,1.0
目标#176,Specifies,需求#176,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和交通监测功能,Defines,目标#177,User_Story,Goal,1.0
用户#177,Proposes,需求#177,User,Requirement,1.0
目标#177,Specifies,需求#177,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和电力设备检修功能,Defines,目标#178,User_Story,Goal,1.0
用户#178,Proposes,需求#178,User,Requirement,1.0
目标#178,Specifies,需求#178,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和渔业资源调查功能,Defines,目标#179,User_Story,Goal,1.0
用户#179,Proposes,需求#179,User,Requirement,1.0
目标#179,Specifies,需求#179,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和城市安全监控功能,Defines,目标#180,User_Story,Goal,1.0
用户#180,Proposes,需求#180,User,Requirement,1.0
目标#180,Specifies,需求#180,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和环境监测功能,Defines,目标#181,User_Story,Goal,1.0
用户#181,Proposes,需求#181,User,Requirement,1.0
目标#181,Specifies,需求#181,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和水质监测功能。,Defines,目标#182,User_Story,Goal,1.0
用户#182,Proposes,需求#182,User,Requirement,1.0
目标#182,Specifies,需求#182,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和航空器维修功能,Defines,目标#183,User_Story,Goal,1.0
用户#183,Proposes,需求#183,User,Requirement,1.0
目标#183,Specifies,需求#183,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和野生动物监测功能,Defines,目标#184,User_Story,Goal,1.0
用户#184,Proposes,需求#184,User,Requirement,1.0
目标#184,Specifies,需求#184,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和建筑结构测量功能,Defines,目标#185,User_Story,Goal,1.0
用户#185,Proposes,需求#185,User,Requirement,1.0
目标#185,Specifies,需求#185,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和环境监测功能,Defines,目标#186,User_Story,Goal,1.0
用户#186,Proposes,需求#186,User,Requirement,1.0
目标#186,Specifies,需求#186,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和海洋生物采样功能,Defines,目标#187,User_Story,Goal,1.0
用户#187,Proposes,需求#187,User,Requirement,1.0
目标#187,Specifies,需求#187,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和城市规划勘测功能,Defines,目标#188,User_Story,Goal,1.0
用户#188,Proposes,需求#188,User,Requirement,1.0
目标#188,Specifies,需求#188,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和火场监测功能,Defines,目标#189,User_Story,Goal,1.0
用户#189,Proposes,需求#189,User,Requirement,1.0
目标#189,Specifies,需求#189,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和灌溉调控功能,Defines,目标#190,User_Story,Goal,1.0
用户#190,Proposes,需求#190,User,Requirement,1.0
目标#190,Specifies,需求#190,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和地质勘测功能,Defines,目标#191,User_Story,Goal,1.0
用户#191,Proposes,需求#191,User,Requirement,1.0
目标#191,Specifies,需求#191,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和海洋生态监测功能,Defines,目标#192,User_Story,Goal,1.0
用户#192,Proposes,需求#192,User,Requirement,1.0
目标#192,Specifies,需求#192,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和交通监测功能,Defines,目标#193,User_Story,Goal,1.0
用户#193,Proposes,需求#193,User,Requirement,1.0
目标#193,Specifies,需求#193,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和电力设备检修功能,Defines,目标#194,User_Story,Goal,1.0
用户#194,Proposes,需求#194,User,Requirement,1.0
目标#194,Specifies,需求#194,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和渔业资源调查功能,Defines,目标#195,User_Story,Goal,1.0
用户#195,Proposes,需求#195,User,Requirement,1.0
目标#195,Specifies,需求#195,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和城市安全监控功能,Defines,目标#196,User_Story,Goal,1.0
用户#196,Proposes,需求#196,User,Requirement,1.0
目标#196,Specifies,需求#196,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和环境监测功能,Defines,目标#197,User_Story,Goal,1.0
用户#197,Proposes,需求#197,User,Requirement,1.0
目标#197,Specifies,需求#197,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和水质监测功能,Defines,目标#198,User_Story,Goal,1.0
用户#198,Proposes,需求#198,User,Requirement,1.0
目标#198,Specifies,需求#198,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和航空器维修功能,Defines,目标#199,User_Story,Goal,1.0
用户#199,Proposes,需求#199,User,Requirement,1.0
目标#199,Specifies,需求#199,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和野生动物监测功能,Defines,目标#200,User_Story,Goal,1.0
用户#200,Proposes,需求#200,User,Requirement,1.0
目标#200,Specifies,需求#200,Goal,Requirement,1.0
我希望能够远程遥控无人机的飞行和建筑结构测量功能,Defines,目标#201,User_Story,Goal,1.0
用户#201,Proposes,需求#201,User,Requirement,1.0
目标#201,Specifies,需求#201,Goal,Requirement,1.0
我需要能够远程遥控无人机的飞行和环境监测功能,Defines,目标#202,User_Story,Goal,1.0
用户#202,Proposes,需求#202,User,Requirement,1.0
目标#202,Specifies,需求#202,Goal,Requirement,1.0
我希望无人机具有高清摄像功能,Defines,目标#203,User_Story,Goal,1.0
用户#203,Proposes,需求#203,User,Requirement,1.0
目标#203,Specifies,需求#203,Goal,Requirement,1.0
我需要无人机具备实时摄像功能,Defines,目标#204,User_Story,Goal,1.0
用户#204,Proposes,需求#204,User,Requirement,1.0
目标#204,Specifies,需求#204,Goal,Requirement,1.0
我希望无人机能够稳定飞行并搭载专业摄像设备,Defines,目标#205,User_Story,Goal,1.0
用户#205,Proposes,需求#205,User,Requirement,1.0
目标#205,Specifies,需求#205,Goal,Requirement,1.0
我需要无人机具备高速追踪和拍摄功能,Defines,目标#206,User_Story,Goal,1.0
用户#206,Proposes,需求#206,User,Requirement,1.0
目标#206,Specifies,需求#206,Goal,Requirement,1.0
我希望无人机能够拍摄高清航拍视频,Defines,目标#207,User_Story,Goal,1.0
用户#207,Proposes,需求#207,User,Requirement,1.0
目标#207,Specifies,需求#207,Goal,Requirement,1.0
我需要无人机能够拍摄浪漫而唯美的婚礼航拍影片，为新人留下难忘回忆。,Defines,目标#208,User_Story,Goal,1.0
用户#208,Proposes,需求#208,User,Requirement,1.0
目标#208,Specifies,需求#208,Goal,Requirement,1.0
我希望无人机能够拍摄独特的空中广告短片，吸引观众的注意力并传达产品的特点。,Defines,目标#209,User_Story,Goal,1.0
用户#209,Proposes,需求#209,User,Requirement,1.0
目标#209,Specifies,需求#209,Goal,Requirement,1.0
我需要无人机能够拍摄野生动物和自然景观的高清影像,Defines,目标#210,User_Story,Goal,1.0
用户#210,Proposes,需求#210,User,Requirement,1.0
目标#210,Specifies,需求#210,Goal,Requirement,1.0
我希望无人机能够拍摄建筑物的空中俯瞰照片，展示建筑的规模和设计风格。,Defines,目标#211,User_Story,Goal,1.0
用户#211,Proposes,需求#211,User,Requirement,1.0
目标#211,Specifies,需求#211,Goal,Requirement,1.0
我需要无人机能够搭载专业摄像设备，拍摄出震撼人心的航空摄影作品。,Defines,目标#212,User_Story,Goal,1.0
用户#212,Proposes,需求#212,User,Requirement,1.0
目标#212,Specifies,需求#212,Goal,Requirement,1.0
我希望无人机能够拍摄精美的旅行影片，分享独特的旅游体验和景点风景。,Defines,目标#213,User_Story,Goal,1.0
用户#213,Proposes,需求#213,User,Requirement,1.0
目标#213,Specifies,需求#213,Goal,Requirement,1.0
我需要无人机能够跟随和拍摄运动选手的精彩动作，记录下极限运动的刺激瞬间。,Defines,目标#214,User_Story,Goal,1.0
用户#214,Proposes,需求#214,User,Requirement,1.0
目标#214,Specifies,需求#214,Goal,Requirement,1.0
我希望无人机能够拍摄航拍视频,Defines,目标#215,User_Story,Goal,1.0
用户#215,Proposes,需求#215,User,Requirement,1.0
目标#215,Specifies,需求#215,Goal,Requirement,1.0
我需要无人机能够搭载专业摄像设备，拍摄出科学实验和研究场景的细节影像。,Defines,目标#216,User_Story,Goal,1.0
用户#216,Proposes,需求#216,User,Requirement,1.0
目标#216,Specifies,需求#216,Goal,Requirement,1.0
我希望无人机能够拍摄比赛过程和选手表现的实时视频,Defines,目标#217,User_Story,Goal,1.0
用户#217,Proposes,需求#217,User,Requirement,1.0
目标#217,Specifies,需求#217,Goal,Requirement,1.0
我需要无人机能够拍摄创意艺术作品的空中视角，为艺术作品增添独特的艺术表现形式。,Defines,目标#218,User_Story,Goal,1.0
用户#218,Proposes,需求#218,User,Requirement,1.0
目标#218,Specifies,需求#218,Goal,Requirement,1.0
我希望无人机能够拍摄地貌变化和自然地理现象的摄像影像,Defines,目标#219,User_Story,Goal,1.0
用户#219,Proposes,需求#219,User,Requirement,1.0
目标#219,Specifies,需求#219,Goal,Requirement,1.0
我需要无人机能够拍摄植物生长和变化的时间-lapse影像,Defines,目标#220,User_Story,Goal,1.0
用户#220,Proposes,需求#220,User,Requirement,1.0
目标#220,Specifies,需求#220,Goal,Requirement,1.0
我希望无人机能够拍摄具有音乐背景的空中音乐视频,Defines,目标#221,User_Story,Goal,1.0
用户#221,Proposes,需求#221,User,Requirement,1.0
目标#221,Specifies,需求#221,Goal,Requirement,1.0
我需要无人机能够拍摄环境变化和生态系统的高清视频,Defines,目标#222,User_Story,Goal,1.0
用户#222,Proposes,需求#222,User,Requirement,1.0
目标#222,Specifies,需求#222,Goal,Requirement,1.0
我希望无人机能够拍摄城市规划和城市发展的航拍影像,Defines,目标#223,User_Story,Goal,1.0
用户#223,Proposes,需求#223,User,Requirement,1.0
目标#223,Specifies,需求#223,Goal,Requirement,1.0
我需要无人机能够拍摄农田和农作物的高清照片,Defines,目标#224,User_Story,Goal,1.0
用户#224,Proposes,需求#224,User,Requirement,1.0
目标#224,Specifies,需求#224,Goal,Requirement,1.0
我希望无人机能够拍摄风景和自然环境的宽广视野,Defines,目标#225,User_Story,Goal,1.0
用户#225,Proposes,需求#225,User,Requirement,1.0
目标#225,Specifies,需求#225,Goal,Requirement,1.0
我需要无人机能够拍摄野生动物的高清影像，捕捉动物的自然行为和独特瞬间。,Defines,目标#226,User_Story,Goal,1.0
用户#226,Proposes,需求#226,User,Requirement,1.0
目标#226,Specifies,需求#226,Goal,Requirement,1.0
我希望无人机能够拍摄古建筑和文化遗址的航拍照片和视频,Defines,目标#227,User_Story,Goal,1.0
用户#227,Proposes,需求#227,User,Requirement,1.0
目标#227,Specifies,需求#227,Goal,Requirement,1.0
我希望无人机能够搭载水下摄像设备,Defines,目标#228,User_Story,Goal,1.0
用户#228,Proposes,需求#228,User,Requirement,1.0
目标#228,Specifies,需求#228,Goal,Requirement,1.0
我需要无人机能够拍摄航拍视频,Defines,目标#229,User_Story,Goal,1.0
用户#229,Proposes,需求#229,User,Requirement,1.0
目标#229,Specifies,需求#229,Goal,Requirement,1.0
我希望无人机能够拍摄考古遗址的航拍照片和视频,Defines,目标#230,User_Story,Goal,1.0
用户#230,Proposes,需求#230,User,Requirement,1.0
目标#230,Specifies,需求#230,Goal,Requirement,1.0
我需要无人机能够拍摄运动员训练过程的实时视频,Defines,目标#231,User_Story,Goal,1.0
用户#231,Proposes,需求#231,User,Requirement,1.0
目标#231,Specifies,需求#231,Goal,Requirement,1.0
我希望无人机能够拍摄科学实验和科学现象的摄像影像,Defines,目标#232,User_Story,Goal,1.0
用户#232,Proposes,需求#232,User,Requirement,1.0
目标#232,Specifies,需求#232,Goal,Requirement,1.0
我需要无人机能够拍摄冰川变化和冰川景观的航拍影像,Defines,目标#233,User_Story,Goal,1.0
用户#233,Proposes,需求#233,User,Requirement,1.0
目标#233,Specifies,需求#233,Goal,Requirement,1.0
我希望无人机能够拍摄绚丽的夜景照片和影片，展示城市的夜间魅力和灯光效果。,Defines,目标#234,User_Story,Goal,1.0
用户#234,Proposes,需求#234,User,Requirement,1.0
目标#234,Specifies,需求#234,Goal,Requirement,1.0
我需要无人机能够搭载专业摄像设备，拍摄出独特的艺术摄影作品。,Defines,目标#235,User_Story,Goal,1.0
用户#235,Proposes,需求#235,User,Requirement,1.0
目标#235,Specifies,需求#235,Goal,Requirement,1.0
我希望无人机能够拍摄引人注目的空中照片和视频，为新媒体内容增加视觉冲击力。,Defines,目标#236,User_Story,Goal,1.0
用户#236,Proposes,需求#236,User,Requirement,1.0
目标#236,Specifies,需求#236,Goal,Requirement,1.0
我希望无人机的续航能力能够持续飞行足够长的时间,Defines,目标#237,User_Story,Goal,1.0
用户#237,Proposes,需求#237,User,Requirement,1.0
目标#237,Specifies,需求#237,Goal,Requirement,1.0
我需要无人机具备较长的续航能力,Defines,目标#238,User_Story,Goal,1.0
用户#238,Proposes,需求#238,User,Requirement,1.0
目标#238,Specifies,需求#238,Goal,Requirement,1.0
我希望无人机的续航能力能够支持长时间的线路巡检,Defines,目标#239,User_Story,Goal,1.0
用户#239,Proposes,需求#239,User,Requirement,1.0
目标#239,Specifies,需求#239,Goal,Requirement,1.0
我需要无人机具备较长的续航能力,Defines,目标#240,User_Story,Goal,1.0
用户#240,Proposes,需求#240,User,Requirement,1.0
目标#240,Specifies,需求#240,Goal,Requirement,1.0
我希望无人机的续航能力能够支持长时间的航拍勘测,Defines,目标#241,User_Story,Goal,1.0
用户#241,Proposes,需求#241,User,Requirement,1.0
目标#241,Specifies,需求#241,Goal,Requirement,1.0
我需要无人机具备较长的续航能力,Defines,目标#242,User_Story,Goal,1.0
用户#242,Proposes,需求#242,User,Requirement,1.0
目标#242,Specifies,需求#242,Goal,Requirement,1.0
我希望无人机的续航能力能够支持长时间的巡查和监控,Defines,目标#243,User_Story,Goal,1.0
用户#243,Proposes,需求#243,User,Requirement,1.0
目标#243,Specifies,需求#243,Goal,Requirement,1.0
我需要无人机具备较长的续航能力,Defines,目标#244,User_Story,Goal,1.0
用户#244,Proposes,需求#244,User,Requirement,1.0
目标#244,Specifies,需求#244,Goal,Requirement,1.0
我希望无人机的续航能力能够支持长时间的科学考察和数据采集工作。,Defines,目标#245,User_Story,Goal,1.0
用户#245,Proposes,需求#245,User,Requirement,1.0
目标#245,Specifies,需求#245,Goal,Requirement,1.0
我需要无人机具备较长的续航能力,Defines,目标#246,User_Story,Goal,1.0
用户#246,Proposes,需求#246,User,Requirement,1.0
目标#246,Specifies,需求#246,Goal,Requirement,1.0
我希望无人机的续航能力能够支持长时间的空中巡视和交通监管,Defines,目标#247,User_Story,Goal,1.0
用户#247,Proposes,需求#247,User,Requirement,1.0
目标#247,Specifies,需求#247,Goal,Requirement,1.0
我需要无人机具备较长的续航能力,Defines,目标#248,User_Story,Goal,1.0
用户#248,Proposes,需求#248,User,Requirement,1.0
目标#248,Specifies,需求#248,Goal,Requirement,1.0
我希望无人机具备高度稳定的飞行控制系统,Defines,目标#249,User_Story,Goal,1.0
用户#249,Proposes,需求#249,User,Requirement,1.0
目标#249,Specifies,需求#249,Goal,Requirement,1.0
我需要无人机配备高清摄像设备和实时传输功能,Defines,目标#250,User_Story,Goal,1.0
用户#250,Proposes,需求#250,User,Requirement,1.0
目标#250,Specifies,需求#250,Goal,Requirement,1.0
我希望无人机能够配备红外热成像和夜视功能,Defines,目标#251,User_Story,Goal,1.0
用户#251,Proposes,需求#251,User,Requirement,1.0
目标#251,Specifies,需求#251,Goal,Requirement,1.0
我需要无人机具备自动避障和防撞功能,Defines,目标#252,User_Story,Goal,1.0
用户#252,Proposes,需求#252,User,Requirement,1.0
目标#252,Specifies,需求#252,Goal,Requirement,1.0
我希望无人机具备强大的飞行稳定性和自动返航功能,Defines,目标#253,User_Story,Goal,1.0
用户#253,Proposes,需求#253,User,Requirement,1.0
目标#253,Specifies,需求#253,Goal,Requirement,1.0
我需要无人机具备飞行限制区域警示功能,Defines,目标#254,User_Story,Goal,1.0
用户#254,Proposes,需求#254,User,Requirement,1.0
目标#254,Specifies,需求#254,Goal,Requirement,1.0
我希望无人机具备防水和防尘性能,Defines,目标#255,User_Story,Goal,1.0
用户#255,Proposes,需求#255,User,Requirement,1.0
目标#255,Specifies,需求#255,Goal,Requirement,1.0
我需要无人机具备加密和抗干扰的通信系统,Defines,目标#256,User_Story,Goal,1.0
用户#256,Proposes,需求#256,User,Requirement,1.0
目标#256,Specifies,需求#256,Goal,Requirement,1.0
我希望无人机具备危险物品识别和警示功能,Defines,目标#257,User_Story,Goal,1.0
用户#257,Proposes,需求#257,User,Requirement,1.0
目标#257,Specifies,需求#257,Goal,Requirement,1.0
我需要无人机配备紧急救援设备投放系统,Defines,目标#258,User_Story,Goal,1.0
用户#258,Proposes,需求#258,User,Requirement,1.0
目标#258,Specifies,需求#258,Goal,Requirement,1.0
我希望无人机的电池寿命能够长久并具备可靠的充电和更换系统,Defines,目标#259,User_Story,Goal,1.0
用户#259,Proposes,需求#259,User,Requirement,1.0
目标#259,Specifies,需求#259,Goal,Requirement,1.0
我需要无人机的相机稳定器和云台系统具备高度可靠性,Defines,目标#260,User_Story,Goal,1.0
用户#260,Proposes,需求#260,User,Requirement,1.0
目标#260,Specifies,需求#260,Goal,Requirement,1.0
我希望无人机的电机和驱动系统具备高可靠性和耐久性,Defines,目标#261,User_Story,Goal,1.0
用户#261,Proposes,需求#261,User,Requirement,1.0
目标#261,Specifies,需求#261,Goal,Requirement,1.0
我需要无人机的通信和数据链路系统具备高度可靠性和抗干扰能力,Defines,目标#262,User_Story,Goal,1.0
用户#262,Proposes,需求#262,User,Requirement,1.0
目标#262,Specifies,需求#262,Goal,Requirement,1.0
我希望无人机的救援装备投放系统具备高可靠性和精准性,Defines,目标#263,User_Story,Goal,1.0
用户#263,Proposes,需求#263,User,Requirement,1.0
目标#263,Specifies,需求#263,Goal,Requirement,1.0
我需要无人机的传感器和数据采集系统具备高可靠性,Defines,目标#264,User_Story,Goal,1.0
用户#264,Proposes,需求#264,User,Requirement,1.0
目标#264,Specifies,需求#264,Goal,Requirement,1.0
我希望无人机的红外热成像和电力检测设备具备高可靠性,Defines,目标#265,User_Story,Goal,1.0
用户#265,Proposes,需求#265,User,Requirement,1.0
目标#265,Specifies,需求#265,Goal,Requirement,1.0
我需要无人机的结构和机械部件具备高可靠性和耐用性,Defines,目标#266,User_Story,Goal,1.0
